model;forecast_date;state_date;param_name;param_value
elastic_net;2020-03-31;2019-12-31;l1_ratio;0.2
elastic_net;2020-06-30;2020-03-31;alpha;1e-05
elastic_net;2020-06-30;2020-03-31;l1_ratio;0.2
elastic_net;2020-09-30;2020-06-30;alpha;0.001
elastic_net;2020-09-30;2020-06-30;l1_ratio;0.5
elastic_net;2020-12-31;2020-09-30;alpha;0.01
elastic_net;2020-12-31;2020-09-30;l1_ratio;0.8
elastic_net;2021-03-31;2020-12-31;alpha;0.01
elastic_net;2021-03-31;2020-12-31;l1_ratio;0.8
elastic_net;2021-06-30;2021-03-31;alpha;0.01
elastic_net;2021-06-30;2021-03-31;l1_ratio;0.8
elastic_net;2021-09-30;2021-06-30;alpha;0.01
elastic_net;2021-09-30;2021-06-30;l1_ratio;0.8
elastic_net;2021-12-31;2021-09-30;alpha;0.1
elastic_net;2021-12-31;2021-09-30;l1_ratio;0.2
elastic_net;2022-03-31;2021-12-31;alpha;0.1
elastic_net;2022-03-31;2021-12-31;l1_ratio;0.2
elastic_net;2022-06-30;2022-03-31;alpha;0.1
elastic_net;2022-06-30;2022-03-31;l1_ratio;0.2
elastic_net;2022-09-30;2022-06-30;alpha;0.1
elastic_net;2022-09-30;2022-06-30;l1_ratio;0.2
elastic_net;2022-12-31;2022-09-30;alpha;0.1
elastic_net;2022-12-31;2022-09-30;l1_ratio;0.2
elastic_net;2023-03-31;2022-12-31;alpha;0.1
elastic_net;2023-03-31;2022-12-31;l1_ratio;0.2
elastic_net;2023-06-30;2023-03-31;alpha;1e-05
elastic_net;2023-06-30;2023-03-31;l1_ratio;0.2
elastic_net;2023-09-30;2023-06-30;alpha;1e-05
elastic_net;2023-09-30;2023-06-30;l1_ratio;0.2
elastic_net;2023-12-31;2023-09-30;alpha;0.01
elastic_net;2023-12-31;2023-09-30;l1_ratio;0.5
elastic_net;2024-03-31;2023-12-31;alpha;0.1
elastic_net;2024-03-31;2023-12-31;l1_ratio;0.8
elastic_net;2024-06-30;2024-03-31;alpha;0.1
elastic_net;2024-06-30;2024-03-31;l1_ratio;0.2
elastic_net;2024-09-30;2024-06-30;alpha;0.01
elastic_net;2024-09-30;2024-06-30;l1_ratio;0.8
elastic_net;2024-12-31;2024-09-30;alpha;0.01
elastic_net;2024-12-31;2024-09-30;l1_ratio;0.8
elastic_net;2025-03-31;2024-12-31;alpha;0.1
elastic_net;2025-03-31;2024-12-31;l1_ratio;0.8
elastic_net;2025-06-30;2025-03-31;alpha;0.1
elastic_net;2025-06-30;2025-03-31;l1_ratio;0.8
elastic_net;2025-09-30;2025-06-30;alpha;0.01
elastic_net;2025-09-30;2025-06-30;l1_ratio;0.5
rolling_ols;2018-12-31;2018-09-30;window;4.0
rolling_ols;2019-03-31;2018-12-31;window;4.0
rolling_ols;2019-06-30;2019-03-31;window;4.0
rolling_ols;2019-09-30;2019-06-30;window;4.0
rolling_ols;2019-12-31;2019-09-30;window;4.0
rolling_ols;2020-03-31;2019-12-31;window;12.0
rolling_ols;2020-06-30;2020-03-31;window;12.0
rolling_ols;2020-09-30;2020-06-30;window;8.0
rolling_ols;2020-12-31;2020-09-30;window;12.0
rolling_ols;2021-03-31;2020-12-31;window;12.0
rolling_ols;2021-06-30;2021-03-31;window;12.0
rolling_ols;2021-09-30;2021-06-30;window;12.0
rolling_ols;2021-12-31;2021-09-30;window;8.0
rolling_ols;2022-03-31;2021-12-31;window;8.0
rolling_ols;2022-06-30;2022-03-31;window;4.0
rolling_ols;2022-09-30;2022-06-30;window;4.0
rolling_ols;2022-12-31;2022-09-30;window;12.0
rolling_ols;2023-03-31;2022-12-31;window;8.0
rolling_ols;2023-06-30;2023-03-31;window;4.0
rolling_ols;2023-09-30;2023-06-30;window;4.0
rolling_ols;2023-12-31;2023-09-30;window;4.0
rolling_ols;2024-03-31;2023-12-31;window;4.0
rolling_ols;2024-06-30;2024-03-31;window;8.0
rolling_ols;2024-09-30;2024-06-30;window;8.0
rolling_ols;2024-12-31;2024-09-30;window;8.0
rolling_ols;2025-03-31;2024-12-31;window;4.0
rolling_ols;2025-06-30;2025-03-31;window;4.0
rolling_ols;2025-09-30;2025-06-30;window;4.0
catboost_lags_regimes;2018-12-31;2018-09-30;depth;6.0
catboost_lags_regimes;2018-12-31;2018-09-30;learning_rate;0.05
catboost_lags_regimes;2018-12-31;2018-09-30;l2_leaf_reg;8.0
catboost_lags_regimes;2018-12-31;2018-09-30;iterations;300.0
catboost_lags_regimes;2019-03-31;2018-12-31;depth;4.0
catboost_lags_regimes;2019-03-31;2018-12-31;learning_rate;0.03
catboost_lags_regimes;2019-03-31;2018-12-31;l2_leaf_reg;3.0
catboost_lags_regimes;2019-03-31;2018-12-31;iterations;300.0
catboost_lags_regimes;2019-06-30;2019-03-31;depth;4.0
catboost_lags_regimes;2019-06-30;2019-03-31;learning_rate;0.03
catboost_lags_regimes;2019-06-30;2019-03-31;l2_leaf_reg;3.0
catboost_lags_regimes;2019-06-30;2019-03-31;iterations;300.0
catboost_lags_regimes;2019-09-30;2019-06-30;depth;6.0
catboost_lags_regimes;2019-09-30;2019-06-30;learning_rate;0.03
catboost_lags_regimes;2019-09-30;2019-06-30;l2_leaf_reg;5.0
catboost_lags_regimes;2019-09-30;2019-06-30;iterations;400.0
catboost_lags_regimes;2019-12-31;2019-09-30;depth;6.0
catboost_lags_regimes;2019-12-31;2019-09-30;learning_rate;0.03
catboost_lags_regimes;2019-12-31;2019-09-30;l2_leaf_reg;5.0
catboost_lags_regimes;2019-12-31;2019-09-30;iterations;400.0
catboost_lags_regimes;2020-03-31;2019-12-31;depth;6.0
catboost_lags_regimes;2020-03-31;2019-12-31;learning_rate;0.03
catboost_lags_regimes;2020-03-31;2019-12-31;l2_leaf_reg;5.0
catboost_lags_regimes;2020-03-31;2019-12-31;iterations;400.0
catboost_lags_regimes;2020-06-30;2020-03-31;depth;6.0
catboost_lags_regimes;2020-06-30;2020-03-31;learning_rate;0.03
catboost_lags_regimes;2020-06-30;2020-03-31;l2_leaf_reg;5.0
catboost_lags_regimes;2020-06-30;2020-03-31;iterations;400.0
catboost_lags_regimes;2020-09-30;2020-06-30;depth;6.0
catboost_lags_regimes;2020-09-30;2020-06-30;learning_rate;0.03
catboost_lags_regimes;2020-09-30;2020-06-30;l2_leaf_reg;5.0
catboost_lags_regimes;2020-09-30;2020-06-30;iterations;400.0
catboost_lags_regimes;2020-12-31;2020-09-30;depth;6.0
catboost_lags_regimes;2020-12-31;2020-09-30;learning_rate;0.05
catboost_lags_regimes;2020-12-31;2020-09-30;l2_leaf_reg;8.0
catboost_lags_regimes;2020-12-31;2020-09-30;iterations;300.0
catboost_lags_regimes;2021-03-31;2020-12-31;depth;6.0
catboost_lags_regimes;2021-03-31;2020-12-31;learning_rate;0.03
catboost_lags_regimes;2021-03-31;2020-12-31;l2_leaf_reg;5.0
catboost_lags_regimes;2021-03-31;2020-12-31;iterations;400.0
catboost_lags_regimes;2021-06-30;2021-03-31;depth;6.0
catboost_lags_regimes;2021-06-30;2021-03-31;learning_rate;0.03
catboost_lags_regimes;2021-06-30;2021-03-31;l2_leaf_reg;5.0
catboost_lags_regimes;2021-06-30;2021-03-31;iterations;400.0
catboost_lags_regimes;2021-09-30;2021-06-30;depth;4.0
catboost_lags_regimes;2021-09-30;2021-06-30;learning_rate;0.03
catboost_lags_regimes;2021-09-30;2021-06-30;l2_leaf_reg;3.0
catboost_lags_regimes;2021-09-30;2021-06-30;iterations;300.0
catboost_lags_regimes;2021-12-31;2021-09-30;depth;4.0
catboost_lags_regimes;2021-12-31;2021-09-30;learning_rate;0.03
catboost_lags_regimes;2021-12-31;2021-09-30;l2_leaf_reg;3.0
catboost_lags_regimes;2021-12-31;2021-09-30;iterations;300.0
catboost_lags_regimes;2022-03-31;2021-12-31;depth;4.0
catboost_lags_regimes;2022-03-31;2021-12-31;learning_rate;0.03
catboost_lags_regimes;2022-03-31;2021-12-31;l2_leaf_reg;3.0
catboost_lags_regimes;2022-03-31;2021-12-31;iterations;300.0
catboost_lags_regimes;2022-06-30;2022-03-31;depth;6.0
catboost_lags_regimes;2022-06-30;2022-03-31;learning_rate;0.03
catboost_lags_regimes;2022-06-30;2022-03-31;l2_leaf_reg;5.0
catboost_lags_regimes;2022-06-30;2022-03-31;iterations;400.0
catboost_lags_regimes;2022-09-30;2022-06-30;depth;4.0
catboost_lags_regimes;2022-09-30;2022-06-30;learning_rate;0.03
catboost_lags_regimes;2022-09-30;2022-06-30;l2_leaf_reg;3.0
catboost_lags_regimes;2022-09-30;2022-06-30;iterations;300.0
catboost_lags_regimes;2022-12-31;2022-09-30;depth;6.0
catboost_lags_regimes;2022-12-31;2022-09-30;learning_rate;0.03
catboost_lags_regimes;2022-12-31;2022-09-30;l2_leaf_reg;5.0
catboost_lags_regimes;2022-12-31;2022-09-30;iterations;400.0
catboost_lags_regimes;2023-03-31;2022-12-31;depth;4.0
catboost_lags_regimes;2023-03-31;2022-12-31;learning_rate;0.03
catboost_lags_regimes;2023-03-31;2022-12-31;l2_leaf_reg;3.0
catboost_lags_regimes;2023-03-31;2022-12-31;iterations;300.0
catboost_lags_regimes;2023-06-30;2023-03-31;depth;4.0
catboost_lags_regimes;2023-06-30;2023-03-31;learning_rate;0.03
catboost_lags_regimes;2023-06-30;2023-03-31;l2_leaf_reg;3.0
catboost_lags_regimes;2023-06-30;2023-03-31;iterations;300.0
catboost_lags_regimes;2023-09-30;2023-06-30;depth;6.0
catboost_lags_regimes;2023-09-30;2023-06-30;learning_rate;0.05
catboost_lags_regimes;2023-09-30;2023-06-30;l2_leaf_reg;8.0
catboost_lags_regimes;2023-09-30;2023-06-30;iterations;300.0
catboost_lags_regimes;2023-12-31;2023-09-30;depth;6.0
catboost_lags_regimes;2023-12-31;2023-09-30;learning_rate;0.03
catboost_lags_regimes;2023-12-31;2023-09-30;l2_leaf_reg;5.0
catboost_lags_regimes;2023-12-31;2023-09-30;iterations;400.0
catboost_lags_regimes;2024-03-31;2023-12-31;depth;6.0
catboost_lags_regimes;2024-03-31;2023-12-31;learning_rate;0.03
catboost_lags_regimes;2024-03-31;2023-12-31;l2_leaf_reg;5.0
catboost_lags_regimes;2024-03-31;2023-12-31;iterations;400.0
catboost_lags_regimes;2024-06-30;2024-03-31;depth;6.0
catboost_lags_regimes;2024-06-30;2024-03-31;learning_rate;0.03
catboost_lags_regimes;2024-06-30;2024-03-31;l2_leaf_reg;5.0
catboost_lags_regimes;2024-06-30;2024-03-31;iterations;400.0
catboost_lags_regimes;2024-09-30;2024-06-30;depth;4.0
catboost_lags_regimes;2024-09-30;2024-06-30;learning_rate;0.03
catboost_lags_regimes;2024-09-30;2024-06-30;l2_leaf_reg;3.0
catboost_lags_regimes;2024-09-30;2024-06-30;iterations;300.0
catboost_lags_regimes;2024-12-31;2024-09-30;depth;4.0
catboost_lags_regimes;2024-12-31;2024-09-30;learning_rate;0.03
catboost_lags_regimes;2024-12-31;2024-09-30;l2_leaf_reg;3.0
catboost_lags_regimes;2024-12-31;2024-09-30;iterations;300.0
catboost_lags_regimes;2025-03-31;2024-12-31;depth;6.0
catboost_lags_regimes;2025-03-31;2024-12-31;learning_rate;0.05
catboost_lags_regimes;2025-03-31;2024-12-31;l2_leaf_reg;8.0
catboost_lags_regimes;2025-03-31;2024-12-31;iterations;300.0
catboost_lags_regimes;2025-06-30;2025-03-31;depth;6.0
catboost_lags_regimes;2025-06-30;2025-03-31;learning_rate;0.05
catboost_lags_regimes;2025-06-30;2025-03-31;l2_leaf_reg;8.0
catboost_lags_regimes;2025-06-30;2025-03-31;iterations;300.0
