month_end;model;n_assets;mse;mae;spearman_rank_corr;state_date;q;obs_var;state_infl_high;state_dd_stress;alpha;l1_ratio;window
2019-06-30;ridge;227;0.045453;0.118334;0.093933;2019-03-31;;;0.0;0.0;100.0;;
2019-09-30;ridge;228;0.027945;0.112063;-0.206497;2019-06-30;;;0.0;0.0;100.0;;
2019-12-31;ridge;230;0.039318;0.149847;0.207005;2019-09-30;;;0.0;0.0;100.0;;
2020-03-31;ridge;229;0.03927;0.128224;-0.089152;2019-12-31;;;1.0;1.0;0.0001;;
2020-06-30;ridge;232;0.052323;0.142594;0.01604;2020-03-31;;;0.0;1.0;1.0;;
2020-09-30;ridge;224;0.036066;0.13924;-0.327906;2020-06-30;;;0.0;0.0;10.0;;
2020-12-31;ridge;229;0.040647;0.136945;0.008193;2020-09-30;;;1.0;0.0;100.0;;
2021-03-31;ridge;228;0.033822;0.143734;-0.008327;2020-12-31;;;1.0;0.0;100.0;;
2021-06-30;ridge;228;0.064452;0.159431;-0.147541;2021-03-31;;;1.0;0.0;100.0;;
2021-09-30;ridge;227;0.054461;0.181318;0.027194;2021-06-30;;;1.0;0.0;100.0;;
2021-12-31;ridge;225;0.077703;0.247763;0.174151;2021-09-30;;;1.0;0.0;100.0;;
2022-03-31;ridge;225;0.075895;0.233978;-0.044634;2021-12-31;;;1.0;1.0;100.0;;
2022-06-30;ridge;225;0.034425;0.156394;0.242296;2022-03-31;;;0.0;1.0;100.0;;
2022-09-30;ridge;221;0.101957;0.268158;-0.089598;2022-06-30;;;0.0;1.0;100.0;;
2022-12-31;ridge;220;0.159508;0.281657;0.337587;2022-09-30;;;1.0;1.0;100.0;;
2023-03-31;ridge;220;0.14083;0.246017;0.286929;2022-12-31;;;0.0;1.0;100.0;;
2023-06-30;ridge;219;0.2647;0.367226;0.396137;2023-03-31;;;0.0;1.0;0.0001;;
2023-09-30;ridge;223;0.206185;0.418155;-0.484193;2023-06-30;;;1.0;1.0;0.0001;;
2023-12-31;ridge;229;0.062417;0.17105;0.214771;2023-09-30;;;0.0;1.0;100.0;;
2024-03-31;ridge;231;0.032416;0.152606;-0.219608;2023-12-31;;;0.0;1.0;100.0;;
2024-06-30;ridge;237;0.026984;0.119197;0.106454;2024-03-31;;;0.0;1.0;100.0;;
2024-09-30;ridge;238;0.024713;0.124695;-0.279121;2024-06-30;;;0.0;1.0;100.0;;
2024-12-31;ridge;240;0.059314;0.199797;0.253576;2024-09-30;;;1.0;1.0;100.0;;
2025-03-31;ridge;240;0.019048;0.112404;-0.214199;2024-12-31;;;0.0;1.0;100.0;;
2025-06-30;ridge;240;0.032274;0.124214;0.398572;2025-03-31;;;0.0;1.0;100.0;;
2025-09-30;ridge;239;0.016179;0.092221;-0.14225;2025-06-30;;;0.0;1.0;100.0;;
2018-12-31;lasso;226;0.084187;0.165353;;2018-09-30;;;1.0;0.0;0.1;;
2019-03-31;lasso;228;0.046436;0.124366;;2018-12-31;;;0.0;0.0;0.1;;
2019-06-30;lasso;227;0.043408;0.118758;;2019-03-31;;;0.0;0.0;0.1;;
2019-09-30;lasso;228;0.024627;0.105312;;2019-06-30;;;0.0;0.0;0.1;;
2019-12-31;lasso;230;0.046488;0.173107;;2019-09-30;;;0.0;0.0;0.1;;
2020-03-31;lasso;229;0.03927;0.128162;-0.087923;2019-12-31;;;1.0;1.0;1e-05;;
2020-06-30;lasso;232;0.052358;0.142649;0.014135;2020-03-31;;;0.0;1.0;1e-05;;
2020-09-30;lasso;224;0.036028;0.139117;-0.327644;2020-06-30;;;0.0;0.0;0.0001;;
2020-12-31;lasso;229;0.040268;0.125811;;2020-09-30;;;1.0;0.0;0.01;;
2021-03-31;lasso;228;0.03258;0.130375;;2020-12-31;;;1.0;0.0;0.01;;
2021-06-30;lasso;228;0.06456;0.148752;;2021-03-31;;;1.0;0.0;0.01;;
2021-09-30;lasso;227;0.049405;0.159621;;2021-06-30;;;1.0;0.0;0.01;;
2021-12-31;lasso;225;0.065145;0.221165;;2021-09-30;;;1.0;0.0;0.1;;
2022-03-31;lasso;225;0.048624;0.166241;;2021-12-31;;;1.0;1.0;0.1;;
2022-06-30;lasso;225;0.04031;0.16991;;2022-03-31;;;0.0;1.0;0.1;;
2022-09-30;lasso;221;0.062956;0.188068;;2022-06-30;;;0.0;1.0;0.1;;
2022-12-31;lasso;220;0.183634;0.315596;;2022-09-30;;;1.0;1.0;0.1;;
2023-03-31;lasso;220;0.17761;0.273914;;2022-12-31;;;0.0;1.0;0.1;;
2023-06-30;lasso;219;0.264717;0.367222;0.398505;2023-03-31;;;0.0;1.0;1e-05;;
2023-09-30;lasso;223;0.20593;0.417893;-0.483664;2023-06-30;;;1.0;1.0;1e-05;;
2023-12-31;lasso;229;0.066279;0.176978;0.191076;2023-09-30;;;0.0;1.0;0.01;;
2024-03-31;lasso;231;0.040953;0.180715;;2023-12-31;;;0.0;1.0;0.1;;
2024-06-30;lasso;237;0.026669;0.115154;0.094056;2024-03-31;;;0.0;1.0;0.01;;
2024-09-30;lasso;238;0.022454;0.118683;-0.316789;2024-06-30;;;0.0;1.0;0.01;;
2024-12-31;lasso;240;0.047946;0.171907;0.270897;2024-09-30;;;1.0;1.0;0.01;;
2025-03-31;lasso;240;0.036095;0.168521;;2024-12-31;;;0.0;1.0;0.1;;
2025-06-30;lasso;240;0.028746;0.129223;0.42798;2025-03-31;;;0.0;1.0;0.1;;
2025-09-30;lasso;239;0.016031;0.09117;-0.160119;2025-06-30;;;0.0;1.0;0.01;;
2018-12-31;elastic_net;226;0.084187;0.165353;;2018-09-30;;;1.0;0.0;0.1;0.5;
2019-03-31;elastic_net;228;0.046436;0.124366;;2018-12-31;;;0.0;0.0;0.1;0.5;
2019-06-30;elastic_net;227;0.043408;0.118758;;2019-03-31;;;0.0;0.0;0.1;0.5;
2019-09-30;elastic_net;228;0.024627;0.105312;;2019-06-30;;;0.0;0.0;0.1;0.5;
2019-12-31;elastic_net;230;0.046488;0.173107;;2019-09-30;;;0.0;0.0;0.1;0.5;
2020-03-31;elastic_net;229;0.039269;0.128206;-0.088918;2019-12-31;;;1.0;1.0;1e-05;0.2;
2020-06-30;elastic_net;232;0.052369;0.142673;0.012016;2020-03-31;;;0.0;1.0;1e-05;0.2;
2020-09-30;elastic_net;224;0.035899;0.138826;-0.326699;2020-06-30;;;0.0;0.0;0.001;0.5;
2020-12-31;elastic_net;229;0.040018;0.129759;;2020-09-30;;;1.0;0.0;0.01;0.8;
2021-03-31;elastic_net;228;0.032848;0.134075;;2020-12-31;;;1.0;0.0;0.01;0.8;
2021-06-30;elastic_net;228;0.064044;0.15144;;2021-03-31;;;1.0;0.0;0.01;0.8;
2021-09-30;elastic_net;227;0.05052;0.164526;;2021-06-30;;;1.0;0.0;0.01;0.8;
2021-12-31;elastic_net;225;0.065145;0.221165;;2021-09-30;;;1.0;0.0;0.1;0.2;
2022-03-31;elastic_net;225;0.048624;0.166241;;2021-12-31;;;1.0;1.0;0.1;0.2;
2022-06-30;elastic_net;225;0.04031;0.16991;;2022-03-31;;;0.0;1.0;0.1;0.2;
2022-09-30;elastic_net;221;0.062956;0.188068;;2022-06-30;;;0.0;1.0;0.1;0.2;
2022-12-31;elastic_net;220;0.183634;0.315596;;2022-09-30;;;1.0;1.0;0.1;0.2;
2023-03-31;elastic_net;220;0.165625;0.263381;;2022-12-31;;;0.0;1.0;0.1;0.2;
2023-06-30;elastic_net;219;0.264705;0.367225;0.396404;2023-03-31;;;0.0;1.0;1e-05;0.2;
2023-09-30;elastic_net;223;0.20612;0.418089;-0.484203;2023-06-30;;;1.0;1.0;1e-05;0.2;
2023-12-31;elastic_net;229;0.067007;0.179197;0.204268;2023-09-30;;;0.0;1.0;0.01;0.5;
