strategy;forecast_date;sector_for_eval;sector_weight;sector_contribution_return;sector_expected_contribution;n_assets;sector_sleeve_return
selector_composite;2024-09-30;all;1.0;-0.13991804;-0.0341633;9;-0.13991804
selector_composite;2024-12-31;all;1.0;0.10252485;-0.04370808;9;0.10252485
selector_composite;2025-03-31;all;1.0;-0.07467192;0.09670478;9;-0.07467192
selector_composite;2025-06-30;all;1.0;0.02246203;0.05592077;7;0.02246203
selector_composite;2025-09-30;all;1.0;-0.02398873;-0.00198524;10;-0.02398873
selector_rule_based;2018-12-31;all;1.0;0.4942002;0.09852298;10;0.4942002
selector_rule_based;2019-03-31;all;1.0;0.01311081;-0.01628616;12;0.01311081
selector_rule_based;2019-06-30;all;1.0;0.07906152;0.02065569;12;0.07906152
selector_rule_based;2019-09-30;all;1.0;0.02970353;0.01127536;11;0.02970353
selector_rule_based;2019-12-31;all;1.0;0.05388319;-0.00016171;11;0.05388319
selector_rule_based;2020-03-31;all;1.0;0.22570977;0.01850793;10;0.22570977
selector_rule_based;2020-06-30;all;1.0;0.25409856;0.11092641;9;0.25409856
selector_rule_based;2020-09-30;all;1.0;0.02106467;0.09678479;9;0.02106467
selector_rule_based;2020-12-31;all;1.0;0.09541194;0.06887294;9;0.09541194
selector_rule_based;2021-03-31;all;1.0;0.07710571;0.06191658;10;0.07710571
selector_rule_based;2021-06-30;all;1.0;-0.00687018;0.08789549;10;-0.00687018
selector_rule_based;2021-09-30;all;1.0;0.07826883;0.10430005;10;0.07826883
selector_rule_based;2021-12-31;all;1.0;-0.10775079;0.04284887;10;-0.10775079
selector_rule_based;2022-03-31;all;1.0;-0.08844006;0.01936858;10;-0.08844006
selector_rule_based;2022-06-30;all;1.0;0.09002091;0.02335462;8;0.09002091
selector_rule_based;2022-09-30;all;1.0;0.22935005;-0.04184353;12;0.22935005
selector_rule_based;2022-12-31;all;1.0;0.33139752;0.10015756;10;0.33139752
selector_rule_based;2023-03-31;all;1.0;0.19103104;0.3813392;8;0.19103104
selector_rule_based;2023-06-30;all;1.0;0.41726454;0.48407478;7;0.41726454
selector_rule_based;2023-09-30;all;1.0;-0.0132832;0.54887803;7;-0.0132832
selector_rule_based;2023-12-31;all;1.0;0.05733967;-0.07437092;8;0.05733967
selector_rule_based;2024-03-31;all;1.0;-0.06098016;0.07020457;8;-0.06098016
selector_rule_based;2024-06-30;all;1.0;-0.06174479;0.02163246;10;-0.06174479
selector_rule_based;2024-09-30;all;1.0;-0.08466104;-0.00119726;9;-0.08466104
selector_rule_based;2024-12-31;all;1.0;0.0973113;0.05468494;9;0.0973113
selector_rule_based;2025-03-31;all;1.0;-0.08654685;0.13664097;8;-0.08654685
selector_rule_based;2025-06-30;all;1.0;0.03344357;0.06027547;9;0.03344357
selector_rule_based;2025-09-30;all;1.0;-0.01373356;0.07403699;8;-0.01373356
