forecast_date;strategy;model_requested;model_used;state_infl_high;state_vol_high_auto;state_dd_stress;selector_scope;selector_score;selector_mse;selector_spearman;selector_tail_ratio;selector_n_dates;selector_n_obs
2022-06-30;always_linear;ridge;ridge;0.0;1.0;1.0;not_used;;;;;;
2022-06-30;always_transformer;patchtst_global;patchtst_global;0.0;1.0;1.0;not_used;;;;;;
2022-06-30;selector_composite;catboost_lags_regimes;catboost_lags_regimes;0.0;1.0;1.0;global_rolling;0.63561581;0.04687651;0.07082818;1.02228709;8.0;1818.0
2022-06-30;selector_rule_based;patchtst_global;patchtst_global;0.0;1.0;1.0;rule_based;;;;;;
2022-09-30;always_linear;ridge;ridge;0.0;1.0;1.0;not_used;;;;;;
2022-09-30;always_transformer;patchtst_global;patchtst_global;0.0;1.0;1.0;not_used;;;;;;
2022-09-30;selector_composite;catboost_lags_regimes;catboost_lags_regimes;0.0;1.0;1.0;global_rolling;0.675305;0.04485384;0.06672301;1.01253037;8.0;1811.0
2022-09-30;selector_rule_based;patchtst_global;patchtst_global;0.0;1.0;1.0;rule_based;;;;;;
2022-12-31;always_linear;ridge;ridge;1.0;1.0;1.0;not_used;;;;;;
2022-12-31;always_transformer;patchtst_global;patchtst_global;1.0;1.0;1.0;not_used;;;;;;
2022-12-31;selector_composite;elastic_net;elastic_net;1.0;1.0;1.0;global_rolling;0.62863353;0.04953147;0.05665308;1.06405406;8.0;1808.0
2022-12-31;selector_rule_based;patchtst_global;patchtst_global;1.0;1.0;1.0;rule_based;;;;;;
2023-03-31;always_linear;ridge;ridge;0.0;1.0;1.0;not_used;;;;;;
2023-03-31;always_transformer;patchtst_global;patchtst_global;0.0;1.0;1.0;not_used;;;;;;
2023-03-31;selector_composite;catboost_lags_regimes;catboost_lags_regimes;0.0;1.0;1.0;global_rolling;0.58749466;0.06572625;0.07739816;1.29404822;8.0;1799.0
2023-03-31;selector_rule_based;patchtst_global;patchtst_global;0.0;1.0;1.0;rule_based;;;;;;
2023-06-30;always_linear;ridge;ridge;0.0;0.0;1.0;not_used;;;;;;
2023-06-30;always_transformer;patchtst_global;patchtst_global;0.0;0.0;1.0;not_used;;;;;;
2023-06-30;selector_composite;kalman_tvp;kalman_tvp;0.0;0.0;1.0;global_rolling;0.86876663;0.08350763;0.16262658;1.30712578;8.0;1791.0
2023-06-30;selector_rule_based;patchtst_global;patchtst_global;0.0;0.0;1.0;rule_based;;;;;;
2023-09-30;always_linear;ridge;ridge;1.0;0.0;1.0;not_used;;;;;;
2023-09-30;always_transformer;patchtst_global;patchtst_global;1.0;0.0;1.0;not_used;;;;;;
2023-09-30;selector_composite;kalman_tvp;kalman_tvp;1.0;0.0;1.0;global_rolling;1.10403605;0.10771592;0.21207581;1.22668175;8.0;1782.0
2023-09-30;selector_rule_based;patchtst_global;patchtst_global;1.0;0.0;1.0;rule_based;;;;;;
2023-12-31;always_linear;ridge;ridge;0.0;0.0;1.0;not_used;;;;;;
2023-12-31;always_transformer;patchtst_global;patchtst_global;0.0;0.0;1.0;not_used;;;;;;
2023-12-31;selector_composite;kalman_tvp;kalman_tvp;0.0;0.0;1.0;global_rolling;1.31199166;0.11747588;0.13701866;0.97673961;8.0;1778.0
2023-12-31;selector_rule_based;patchtst_global;patchtst_global;0.0;0.0;1.0;rule_based;;;;;;
2024-03-31;always_linear;ridge;ridge;0.0;0.0;1.0;not_used;;;;;;
2024-03-31;always_transformer;patchtst_global;patchtst_global;0.0;0.0;1.0;not_used;;;;;;
2024-03-31;selector_composite;kalman_tvp;kalman_tvp;0.0;0.0;1.0;global_rolling;0.64970921;0.1334324;0.16055376;1.01819907;8.0;1782.0
2024-03-31;selector_rule_based;patchtst_global;patchtst_global;0.0;0.0;1.0;rule_based;;;;;;
2024-06-30;always_linear;ridge;ridge;0.0;0.0;1.0;not_used;;;;;;
2024-06-30;always_transformer;patchtst_global;patchtst_global;0.0;0.0;1.0;not_used;;;;;;
2024-06-30;selector_composite;elastic_net;elastic_net;0.0;0.0;1.0;regime_conditional;0.41275149;0.13804988;0.22509975;2.0295777;3.0;679.0
2024-06-30;selector_rule_based;patchtst_global;patchtst_global;0.0;0.0;1.0;rule_based;;;;;;
2024-09-30;always_linear;ridge;ridge;0.0;0.0;1.0;not_used;;;;;;
2024-09-30;always_transformer;patchtst_global;patchtst_global;0.0;0.0;1.0;not_used;;;;;;
2024-09-30;selector_composite;lasso;lasso;0.0;0.0;1.0;regime_conditional;0.38648246;0.11015375;0.16884311;2.16980793;4.0;916.0
2024-09-30;selector_rule_based;patchtst_global;patchtst_global;0.0;0.0;1.0;rule_based;;;;;;
2024-12-31;always_linear;ridge;ridge;1.0;0.0;1.0;not_used;;;;;;
2024-12-31;always_transformer;patchtst_global;patchtst_global;1.0;0.0;1.0;not_used;;;;;;
2024-12-31;selector_composite;ols;ols;1.0;0.0;1.0;global_rolling;0.64297657;0.11494718;0.08301895;1.14119883;8.0;1817.0
2024-12-31;selector_rule_based;patchtst_global;patchtst_global;1.0;0.0;1.0;rule_based;;;;;;
2025-03-31;always_linear;ridge;ridge;0.0;1.0;1.0;not_used;;;;;;
2025-03-31;always_transformer;patchtst_global;patchtst_global;0.0;1.0;1.0;not_used;;;;;;
2025-03-31;selector_composite;kalman_tvp;kalman_tvp;0.0;1.0;1.0;global_rolling;0.58158583;0.10534823;0.07490088;1.19774668;8.0;1837.0
2025-03-31;selector_rule_based;patchtst_global;patchtst_global;0.0;1.0;1.0;rule_based;;;;;;
2025-06-30;always_linear;ridge;ridge;0.0;0.0;1.0;not_used;;;;;;
2025-06-30;always_transformer;patchtst_global;patchtst_global;0.0;0.0;1.0;not_used;;;;;;
2025-06-30;selector_composite;lasso;lasso;0.0;0.0;1.0;regime_conditional;0.48839916;0.09300668;0.05227773;2.72380186;5.0;1154.0
2025-06-30;selector_rule_based;patchtst_global;patchtst_global;0.0;0.0;1.0;rule_based;;;;;;
2025-09-30;always_linear;ridge;ridge;0.0;0.0;1.0;not_used;;;;;;
2025-09-30;always_transformer;patchtst_global;patchtst_global;0.0;0.0;1.0;not_used;;;;;;
2025-09-30;selector_composite;lasso;lasso;0.0;0.0;1.0;regime_conditional;0.95100857;0.03638542;0.10323283;1.27180214;5.0;1175.0
2025-09-30;selector_rule_based;patchtst_global;patchtst_global;0.0;0.0;1.0;rule_based;;;;;;
